dataset,test_id,SP_MAFFT
6x60bp,test15,-3624
6x60bp,test16,-5152
6x60bp,test17,-2052
6x60bp,test18,-4772
6x60bp,test19,-3652
6x60bp,test20,-3952
6x60bp,test21,-5192
6x60bp,test22,-2888
6x60bp,test23,-3676
6x60bp,test24,-3320
6x60bp,test25,-4512
6x60bp,test26,-4316
6x60bp,test27,-3416
6x60bp,test28,-4276
6x60bp,test29,-3708
6x60bp,test30,-6608
6x60bp,test31,-2976
6x60bp,test32,-3588
6x60bp,test33,-4056
6x60bp,test34,-4136
6x60bp,test35,-4212
6x60bp,test36,-3032
6x60bp,test37,-3040
6x60bp,test38,-5108
6x60bp,test39,-5444
6x60bp,test40,-2764
6x60bp,test41,-3856
6x60bp,test42,-4832
6x60bp,test43,-5236
6x60bp,test44,-3836
6x60bp,test45,-2464
6x60bp,test46,-2568
6x60bp,test47,-3872
6x60bp,test48,-2712
6x60bp,test49,-3980
