Test,SP_Score
test0,-49
test1,-88
test2,-32
test3,-72
test4,-66
test5,-50
test6,-50
test7,-84
test8,-39
test9,-82
test10,-38
test11,-50
test12,-60
test13,-54
test14,-54
test15,-54
test16,-62
test17,-34
test18,-60
test19,-66
test20,-42
test21,-50
test22,-44
test23,-56
test24,-61
test25,-22
test26,-84
test27,-38
test28,-28
test29,-49
test30,-38
test31,-74
test32,-42
test33,-32
test34,-90
test35,-32
test36,-40
test37,-40
test38,-52
test39,-52
test40,-40
test41,-46
test42,-35
test43,-78
test44,-37
test45,-62
test46,-39
test47,-42
test48,-32
test49,-54
