dataset,test_id,SP_MAFFT
6x60bp,test0,-5200
6x60bp,test1,-3748
6x60bp,test2,-2960
6x60bp,test3,-3828
6x60bp,test4,-3576
6x60bp,test5,-4424
6x60bp,test6,-4136
6x60bp,test7,-5584
6x60bp,test8,-5072
6x60bp,test9,-2988
6x60bp,test10,-4988
6x60bp,test11,-4236
6x60bp,test12,-3292
6x60bp,test13,-3000
6x60bp,test14,-2376
6x60bp,test15,-3624
6x60bp,test16,-5152
6x60bp,test17,-2052
6x60bp,test18,-4772
6x60bp,test19,-3652
6x60bp,test20,-3952
6x60bp,test21,-5192
6x60bp,test22,-2888
6x60bp,test23,-3676
6x60bp,test24,-3320
6x60bp,test25,-4512
6x60bp,test26,-4316
6x60bp,test27,-3416
6x60bp,test28,-4276
6x60bp,test29,-3708
6x60bp,test30,-6608
6x60bp,test31,-2976
6x60bp,test32,-3588
6x60bp,test33,-4056
6x60bp,test34,-4136
6x60bp,test35,-4212
6x60bp,test36,-3032
6x60bp,test37,-3040
6x60bp,test38,-5108
6x60bp,test39,-5444
6x60bp,test40,-2764
6x60bp,test41,-3856
6x60bp,test42,-4832
6x60bp,test43,-5236
6x60bp,test44,-3836
6x60bp,test45,-2464
6x60bp,test46,-2568
6x60bp,test47,-3872
6x60bp,test48,-2712
6x60bp,test49,-3980
